ID	Position	VIR	COL	RATIO	AF	SB
ERR4590003	3078	1.0	1.0	0.7355555555555555	0.0	0.0
ERR4590003	18425	1.0	1.0	1.5715555555555556	0.00021400000000004749	0.0
ERR4589145	5941	1.0	1.0	0.9647924330005256	0.115942	1353.0
ERR4589114	21715	1.0	1.0	0.4315445434143283	0.0	0.0
ERR4589835	18436	1.0	0.0	1.2913764109812482	0.00539400000000001	0.0
ERR4589177	29616	1.0	1.0	0.5178655723732788	0.0	0.0
ERR4589067	2003	1.0	1.0	1.10529217199559	0.207646	1.0
ERR4436923	1905	1.0	1.0	1.5265984791753149	0.0005340000000000343	2.0
ERR4439755	2546	1.0	1.0	0.9826665398525328	0.0030489999999999684	0.0
ERR4589996	21964	1.0	1.0	0.45792445189610104	0.019101999999999952	2.0
ERR4589097	22487	1.0	0.0	0.7886279357231151	0.0048749999999999636	0.0
ERR4589881	427	1.0	1.0	2.110237278388679	0.021395000000000053	0.0
ERR4589957	14444	1.0	1.0	1.4280507485077634	0.0004999999999999449	0.0
ERR4589045	8252	1.0	0.0	1.4248352095203909	0.0	0.0
ERR4436939	18166	1.0	0.0	1.2069080838374024	0.0004889999999999617	0.0
ERR4424465	2602	1.0	1.0	0.0044830411979209115	0.0006469999999999533	0.0
ERR4438251	2201	1.0	1.0	1.7504453696766749	0.35304800000000003	2147483647.0
ERR4461637	4587	1.0	1.0	1.5636578636184468	0.0011759999999999546	0.0
ERR4461637	12833	1.0	0.0	0.010051241623965314	0.0005540000000000543	0.0
ERR4637831	22745	1.0	1.0	0.20997280808951188	0.00840300000000005	0.0
ERR4438643	7427	1.0	1.0	0.21157696542557106	0.0	2147483647.0
ERR8014227	20968	1.0	0.0	1.7132565193781837	0.0001989999999999492	0.0
ERR7834137	15521	1.0	0.0	0.7440725990874275	0.407507	57.0
ERR7940564	10426	1.0	0.0	1.8043810615480744	0.0006610000000000228	7.0
ERR7851323	19125	1.0	0.0	1.8444015727878875	0.00026099999999995566	0.0
ERR7904349	8318	1.0	0.0	1.5956459987566791	0.19059700000000002	2147483647.0
ERR7859283	10070	1.0	1.0	1.0417165391079777	0.0	0.0
ERR7873379	2135	1.0	1.0	0.976023976023976	0.0004229999999999512	0.0
ERR8017784	15521	1.0	0.0	0.985140469003947	0.13821099999999995	17.0
ERR7860116	15521	1.0	0.0	2.7591379521640067	0.0	0.0
