ID	Position	error
ERR4424882	7071	2.1890533674235364
SRR19472635	9086	1.5124237176017712
SRR19928806	2335	0.24057706641287496
SRR19928806	8651	0.011859432851338907
SRR19928806	28088	0.008471023465242075
SRR19476361	5260	0.011759561156757314
SRR19470659	8651	0.07472925856769963
SRR19470659	13791	0.24411557798781877
SRR19470659	15521	0.034873653998259826
SRR23067719	23260	2.9954785757783156
SRR21816398	24389	2.0889374910343865
SRR21816398	24390	2.0897669830890657
SRR19475992	8651	0.04590237391554199
ERR10692872	25903	0.6628844138035868
SRR20746041	26774	1.1089243268091415
SRR20745939	28512	1.42715256339021
ERR10692411	23794	0.4093434763932928
ERR10692411	26029	1.1505475568625767
SRR20746018	12114	1.2182823015195923
SRR20746018	19917	1.103328210480048
ERR10692874	22033	0.28439134340462435
SRR21864198	28877	0.24606095191597874
SRR21864198	28878	0.24560443809053165
SRR20746010	21624	0.04353822983550913
SRR20746055	25908	1.1625216311027415
ERR10709818	26730	0.7789421157684631
ERR10688860	28251	0.4281221922731357
ERR10688860	28254	0.42093441150044925
SRR19928094	1998	0.18133961706353288
SRR19928094	14026	0.46306366500152146
ERR4641331	9634	0.4302562017080114
ERR4641331	24321	0.19235461569743798
ERR4603973	28910	0.07570977917981073
ERR4423996	8888	0.002715666991839773
ERR4423996	11438	0.009875152697599174
ERR4597938	13281	0.9835558409770329
ERR4638100	7035	0.06961546446888137
ERR4585200	28822	0.14288379033762358
ERR4459370	8401	0.06232367181431916
ERR4584910	7131	0.010638297872340425
ERR4555198	25596	0.7153143047944784
ERR4597657	14866	1.670219853431046
ERR4640618	28895	0.5194837428642343
ERR4642293	13714	0.36846875737880386
ERR4640765	29124	0.063463417929765
ERR4638375	22034	1.5212846826301787
ERR4638383	29751	0.18357783211083945
ERR4639386	1976	0.6731391585760518
ERR4585094	24755	2.2293997245344896
ERR4597878	567	0.3523725834797891
ERR4583964	10999	0.019615668451416088
ERR4585207	20371	0.8374045801526717
ERR4422390	950	1.4318899520688397
ERR4641300	10999	0.014674550149930393
ERR4641083	2769	0.04863669859985262
SRR19658901	29870	0.041474488596916825
SRR19928598	8651	0.02708396136711072
ERR4461663	5353	0.08969204627439294
ERR4461663	26020	0.005465106762238996
ERR4589097	22487	0.788627935723115
ERR4589996	21964	0.457924451896101
ERR4461025	19548	0.002276454674019114
ERR4589011	29744	0.022277227722772276
ERR4436923	1905	1.5265984791753149
ERR4589145	5941	0.9647924330005255
