ID_POS	Flag_AF	Flag_SB	Flag_COV
ERR4590003_3078	False	False	False
ERR4590003_18425	False	False	False
ERR4589145_5941	True	True	False
ERR4589114_21715	False	False	False
ERR4589835_18436	True	False	False
ERR4589177_29616	False	False	False
ERR4589067_2003	True	True	False
ERR4436923_1905	False	True	False
ERR4439755_2546	True	False	False
ERR4589996_21964	True	True	False
ERR4589097_22487	True	False	False
ERR4589881_427	True	False	False
ERR4589957_14444	False	False	False
ERR4589045_8252	False	False	False
ERR4436939_18166	False	False	False
ERR4424465_2602	False	False	True
ERR4438251_2201	True	True	False
ERR4461637_4587	True	False	False
ERR4461637_12833	False	False	True
ERR4637831_22745	True	False	False
ERR4438643_7427	False	True	False
ERR8014227_20968	False	False	False
ERR7834137_15521	True	True	False
ERR7940564_10426	False	True	False
ERR7851323_19125	False	False	False
ERR7859283_10070	False	False	False
ERR7873379_2135	False	False	False
ERR8017784_15521	True	True	False
ERR7860116_15521	False	False	False
SRR19473837_10311	True	True	False
ERR7896722_8835	True	True	False
ERR7896722_15521	True	True	False
SRR19475263_13435	True	False	False
SRR20871260_26577	True	True	False
SRR21487456_22005	True	False	False
SRR20858225_8835	True	True	False
SRR20858225_15521	True	True	True
SRR21346111_24851	True	True	False
SRR21326701_15521	True	True	False
SRR19475122_8835	True	True	True
SRR20873361_15521	False	False	True
ERR7859073_8835	True	True	False
ERR7876784_9181	True	True	False
ERR7809355_3936	True	True	True
ERR7897394_13859	True	True	False
ERR8014710_27925	True	True	True
ERR7876587_8835	True	True	False
ERR7859065_8835	True	True	True
ERR7832058_15521	True	True	False
ERR8018310_22077	False	False	True
SRR19475273_15521	True	True	True
ERR7898970_5936	True	True	False
SRR21345734_4106	False	False	False
SRR19473413_10560	True	True	False
ERR8018338_3345	False	False	False
SRR19473813_28955	True	True	False
ERR7874768_5678	True	False	False
ERR7781518_22484	True	True	False
ERR7941330_15521	True	True	False
ERR7806739_666	True	True	False
ERR7904734_15521	True	True	False
ERR8182616_15521	True	True	True
ERR7878655_8835	True	True	True
ERR7831192_8835	True	True	False
ERR7877083_17602	True	True	False
ERR7852201_8835	True	True	False
ERR7940856_3872	True	False	True
ERR7940856_22429	False	False	False
ERR7806567_8835	True	True	False
ERR7941227_8835	True	True	False
ERR7860134_26126	False	True	False
ERR7873734_27675	False	False	False
ERR8018250_22593	False	True	True
ERR7860233_21502	True	True	False
ERR7875082_25023	True	False	False
ERR7877819_8835	True	True	False
ERR7941091_1808	True	False	False
SRR20897967_29139	True	True	False
SRR20902531_20391	True	True	False
SRR20899398_15585	False	False	False
ERR8014862_15521	True	True	False
ERR7921366_8835	True	True	True
ERR7942738_15521	True	True	False
ERR8018230_24603	False	False	False
ERR7859786_2514	False	True	False
ERR7808442_29334	False	False	False
ERR7877064_1400	False	True	False
ERR7831346_2003	True	False	False
ERR8019456_23256	True	False	False
ERR7897637_15521	True	True	False
ERR7896723_25121	False	True	False
ERR8019566_15521	True	True	False
ERR7877343_12673	True	False	False
ERR7898902_15521	True	True	False
ERR7941936_15521	True	True	False
ERR7853009_29542	False	True	True
ERR7853568_8835	True	True	False
ERR8019036_8835	True	True	False
ERR7898212_8835	True	False	True
ERR7852626_8835	True	True	False
ERR8019861_26295	False	False	False
ERR8019287_25947	False	False	False
ERR7941790_19171	False	False	False
ERR7877629_13234	True	True	False
ERR8006457_25018	True	False	False
SRR20898697_490	False	False	False
ERR7851271_15521	True	True	False
ERR8184926_8829	True	True	True
ERR8182980_15521	False	False	False
ERR7859445_15521	True	True	False
ERR7940754_16002	True	False	False
ERR7875476_8835	True	False	True
ERR7941506_15521	True	True	False
ERR7875337_15521	True	True	False
ERR7941576_8835	True	True	False
ERR7952250_8835	True	True	False
ERR7875406_3487	False	True	False
ERR7897949_193	False	True	False
ERR8182894_24348	True	True	False
ERR7873739_309	False	False	False
ERR7809064_8835	True	True	False
ERR7831734_1537	False	True	True
ERR7941270_15521	True	True	False
ERR7952165_28336	False	False	False
ERR7877713_28877	False	False	False
ERR7877713_28878	False	False	False
ERR7811548_8835	True	True	True
ERR7831380_29334	True	True	False
ERR7898728_14841	False	False	False
ERR7860248_14586	False	False	False
ERR7896675_21118	False	True	False
ERR7942254_15521	True	True	False
ERR8183453_23416	False	False	False
ERR8017807_8835	True	True	False
ERR7805730_27545	True	True	False
ERR7897285_15521	True	True	False
ERR7852639_8835	True	True	False
ERR8014543_17110	False	True	False
ERR8019628_29462	True	True	False
ERR7898530_27836	True	True	False
ERR7940952_3273	True	False	False
ERR8014188_27863	True	False	False
ERR7832077_8835	True	False	True
ERR7952132_8835	True	True	False
ERR7951653_15521	True	True	False
ERR7896811_15521	True	True	False
ERR7853371_8835	True	True	False
ERR7845428_388	False	True	False
ERR7896872_27958	False	False	False
ERR7941925_8835	True	True	False
ERR7941417_15521	True	True	False
ERR7904370_15521	True	True	False
ERR7877906_8835	True	True	False
ERR7899036_15521	True	True	False
ERR7951914_8835	True	True	False
ERR8014331_18814	True	False	False
ERR7807006_12556	False	True	False
ERR7874671_2433	True	False	False
ERR8017956_13681	True	False	False
ERR7941246_8835	True	True	False
ERR7955289_15521	True	True	False
ERR7952297_21551	True	True	True
ERR7859244_15521	True	True	False
ERR7851641_20540	True	False	False
ERR8019188_534	False	False	True
ERR8183271_15521	True	True	True
ERR7942922_4694	True	True	False
ERR7940618_398	False	False	False
ERR8018070_17399	True	True	False
ERR7898139_22028	False	False	True
ERR8019726_15521	True	True	False
ERR7940889_15521	True	True	False
ERR7853126_23030	True	False	False
ERR7875921_28503	False	False	False
ERR8183370_15521	False	False	False
ERR7873565_15521	True	True	False
ERR7899426_8835	True	True	False
ERR7897649_15521	False	False	True
ERR7945193_15588	False	False	False
ERR8019079_8835	True	True	False
ERR7873570_15521	True	True	False
ERR8014481_23689	True	True	False
ERR7952497_8835	True	True	True
ERR7952497_28703	False	False	False
ERR8014811_15521	True	True	False
ERR8021809_23854	False	False	False
ERR7845301_22529	False	True	False
ERR7898919_15521	True	True	False
ERR8019358_26565	True	True	False
ERR8019192_336	True	True	False
ERR7854217_8835	True	True	False
ERR7854217_22622	True	True	False
ERR8014369_4687	True	True	False
ERR8014369_15521	True	True	False
ERR7874794_8835	True	True	False
ERR8018318_18432	False	False	False
ERR7898570_8835	True	True	False
ERR7853497_23118	True	False	False
ERR7904728_9242	False	False	False
SRR19475206_15521	False	False	True
ERR7878146_12597	False	True	False
ERR7904432_16548	True	True	False
ERR7874139_9712	False	False	False
ERR7874139_26291	True	False	False
ERR7942149_2404	True	True	False
ERR7797964_24814	True	True	False
ERR8019552_8835	True	True	True
SRR20858080_15521	True	True	False
